id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes
F-011,Teaching-style preference,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-012,Multiple historical exam journeys,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,NOT AUDITED,
F-013,All approved Rule Books,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-014,All relevant session transcripts,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-015,Writing workshops,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-016,Speaking workshops,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-017,Correction sessions,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-018,Reading/Listening materials,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-019,Tutor Book,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-020,Dictionaries/common-word lists,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-021,Recalls/practice banks,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-022,Video timestamp index,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-023,Platform navigation map,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-024,Support/FAQ knowledge,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-025,Official current exam sources,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-026,Source hierarchy,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-027,Content versioning,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-028,Teacher override,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-029,Conflict detection,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,NOT AUDITED,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.
F-030,Initial diagnostic,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-031,Daily plan,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-032,Weekly plan,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-033,30/60/90-day plans,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-034,14/7/3-day plans,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-035,Exam-eve plan,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-036,Missed-day replanning,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-037,Shift-worker planning,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-038,Travel-aware replanning,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-039,What should I do now?,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-040,Next-best-action engine,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-041,Conversation memory,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-042,Learning memory,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-043,Journey memory,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-044,Error DNA,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-045,Learning Fingerprint,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 3,Learner profile + event/memory store,NOT AUDITED,
F-046,Spaced reinforcement,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-047,Memory controls/export/delete,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,NOT AUDITED,
F-048,Quick answer,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-049,Detailed tutor,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-050,Socratic tutor,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-051,Examiner mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-052,Coach mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-053,Dr Hesham mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-054,Arabic explanation,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-055,English-only mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-056,Adaptive drill generator,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-057,Micro-lessons,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 4-5,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-058,Grammar tutor,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-059,Vocabulary brain,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-060,Writing guided mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-061,Writing hint mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-062,Writing correction,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-063,Writing compare/rewrite,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-064,Writing scoring/criteria feedback,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-065,Speaking voice role play,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 3,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-066,Speaking difficult-patient modes,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-067,Speaking pronunciation/fluency analysis,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-068,Reading Part A/B/C coach,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-069,Listening Part A/B/C coach,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-070,Confidence-vs-accuracy analysis,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-071,Why did my score change?,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,NOT AUDITED,
F-072,Full mock mode,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-073,Practice vs Exam mode separation,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-074,Computer-based rehearsal,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-075,Test-day rehearsal,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-076,Final 24-hours mode,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-077,Result-day assistant,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-078,Resit recovery plan,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-079,Readiness score,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-080,Mastery map,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-081,Trend analytics,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-082,Timing analytics,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-083,Personal bests,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-084,Anonymous cohort benchmarking,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-085,Weekly progress report,Exam & analytics,"15, 19",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Data,TO VERIFY - developer after repository audit,Stage 2-3,Attempt data + scoring/evaluation models,NOT AUDITED,
F-086,Image/screenshot understanding,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-087,PDF understanding,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
F-088,Audio analysis,Multimodal & context,"16, 18",UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Frontend,TO VERIFY - developer after repository audit,Stage 2-3,Upload pipeline + page/context APIs,NOT AUDITED,
