ruleId,legacyBodyWas,canonicalBodyNow,severityKept,detectorDisposition
R12.4,"Replace ""tired"" with ""fatigue."" Replace ""bad"" with ""poor"" or ""inadequate."" No colloquial language.",Do not replace tired with fatigue automatically; they can differ in meaning and register.,yes,ai-grounded via corrected body (no detector)
R12.9,"CRITICAL - ""However"": always preceded by semicolon; comma follows. Pattern: ""[clause]; however, [clause].""",However can start a sentence or follow a semicolon; no single punctuation pattern is mandatory.,yes,kept (already canonical semantics)
R12.10,"""Therefore"" / ""Thus"": preceded by semicolon; comma follows. Pattern: ""[clause]; therefore, [clause].""",Therefore/thus have more than one correct punctuation pattern; apply standard punctuation by sentence structure.,yes,kept (already canonical semantics)
R12.11,"""In addition"" (joining two complete clauses): semicolon before + comma after. ""[Clause]; in addition, [clause].""",In addition can be sentence-initial or clause-linked; do not require a semicolon in every case.,yes,kept (already canonical semantics)
R12.16,"""As"" (meaning because) in mid-sentence: comma before. ""Treatment was changed, as the patient showed no improvement.""","A comma before causal as is context-dependent, not universal.",yes,ai-grounded via corrected body (no detector)
R12.17,"""For which"": comma before. ""She has hypertension, for which she was commenced on amlodipine.""",Comma before for which depends on whether the relative clause is non-restrictive; not every occurrence needs one.,yes,ai-grounded via corrected body (no detector)
R12.21,"Appositive: between two commas. ""Ms Miller, a 25-year-old teacher, presented with..."" Use ""gentleman"" / ""lady"" (not man/woman).",Gentleman/lady is not required; use neutral professional identifiers.,yes,ai-grounded via corrected body (no detector)
R13.6,"CRITICAL - Any ongoing medical condition with active medications MUST be mentioned, even if unrelated to the urgent issue.",Do not include every active condition/medicine automatically; relevance and continuity/safety govern inclusion.,yes,ai-grounded via corrected body (no detector)
R14.4,"CRITICAL - Do NOT include: family history, social history, smoking/drinking, previous medical history, occupation. GP knows all of this.",Social/family/past history can be relevant to discharge if it changed or affects ongoing care; do not exclude categorically.,yes,neutralized-noop (this change)
R14.9,CRITICAL - All investigations performed during admission (including normal results) MUST be listed with values.,Do not list all investigations including all normal results; select what the reader needs.,yes,neutralized-noop (this change)
R14.13,Past tense throughout (all events occurred during admission).,"Discharge letters use tense according to time: past for admission events, present for current status, future/modal for plan.",yes,ai-grounded via corrected body (no detector)
R15.2,"CRITICAL - Do NOT use medical jargon. Translate: ""hypertension"" -> ""high blood pressure""; avoid abbreviations like ""BP"" unless previously spelled out.",Technicality should match the recipient. Allied-health professionals may understand clinical terminology; explain/simplify for the actual reader.,yes,neutralized-noop (this change)
R16.3,CRITICAL - Most heavily weighted for pass/fail: Content and Conciseness & Clarity.,OET does not publish a simple pass/fail weighting formula that makes two criteria universally decisive.,yes,ai-grounded via corrected body (no detector)
R16.6,Required score: approximately Band 6+ in most criteria; at least Band 2 out of 3 in Purpose.,Do not convert descriptors into a universal regulator pass threshold; regulator requirements vary.,yes,ai-grounded via corrected body (no detector)
R16.7,"CRITICAL - Examiner standard: ""Could this letter be sent in a real clinical setting?"" Yes = pass. No = fail.","Could this be sent clinically is a useful heuristic, not the official pass/fail formula.",yes,ai-grounded via corrected body (no detector)
