id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes,repo_evidence,repo_gap,repo_stage,risk
F-011,Teaching-style preference,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,EXISTS,,`CompanionPreference` + `GET/PUT /v1/companion/preferences` + `CompanionPreferencesPanel.tsx`; consumed by `CompanionPromptComposer.AppendStyle`.,"Style is a fixed set of three, not free-text.",Stage 1,Low
F-012,Multiple historical exam journeys,Identity & onboarding,5,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Product + Frontend/Backend,TO VERIFY - developer after repository audit,Stage 1,Auth + learner profile schema,MISSING,,One `LearnerGoal` row per user; no journey table and no resit linkage.,Journey-scoped schema needed so plans/memory/mastery survive a resit without losing history.,Stage 2,Medium
F-013,All approved Rule Books,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,EXISTS,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`CompanionRulebookIndexer` plus `CompanionCorpusBootstrapHostedService`, which indexes on first boot when the flag is on and the corpus is empty; `POST /v1/admin/companion/knowledge/reindex` for refreshes.","Bootstrap covers the 115 rulebooks. Course PDFs, videos and workshops remain Stage 2 content ops.",Stage 1,High
F-014,All relevant session transcripts,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`LiveClassRecordingProcessingService` transcribes, summarises and embeds; `ClassRecordingEmbedding.EmbeddingJson` uses in-process cosine, not pgvector.",Not in a shared companion index; embeddings stored as JSON text rather than `vector(1536)`.,Stage 2,Medium
F-015,Writing workshops,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,MISSING,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"No workshop or correction-session entity in `Domain/**`. Source media exists on disk under `OET Materials & Videos Data/` (379 PDFs, 118 MP4, 115 MP3).","Requires the Stage 2 content-ops pipeline: register, extract, tag, approve, release.",Stage 2,Medium
F-016,Speaking workshops,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,MISSING,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"No workshop or correction-session entity in `Domain/**`. Source media exists on disk under `OET Materials & Videos Data/` (379 PDFs, 118 MP4, 115 MP3).","Requires the Stage 2 content-ops pipeline: register, extract, tag, approve, release.",Stage 2,Medium
F-017,Correction sessions,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,MISSING,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"No workshop or correction-session entity in `Domain/**`. Source media exists on disk under `OET Materials & Videos Data/` (379 PDFs, 118 MP4, 115 MP3).","Requires the Stage 2 content-ops pipeline: register, extract, tag, approve, release.",Stage 2,Medium
F-018,Reading/Listening materials,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,`ContentPaper`/`ContentPaperAsset`/`MediaAsset` with the `CandidateVisible` publish gate; entitlement-gated by `IContentEntitlementService`.,Served to learners but not chunked or retrievable by the companion.,Stage 2,Medium
F-019,Tutor Book,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`Domain/TutorBookEntities.cs`, `Services/TutorBook/**`, 180-day fulfilment cap.",Not retrievable; recalls and updates are not indexed.,Stage 2,Medium
F-020,Dictionaries/common-word lists,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`SeedData.VocabularyBank*.cs`, `VocabularyService`, `VocabularyGlossService`, `app/vocabulary`.",Not retrievable as companion evidence.,Stage 2,Low
F-021,Recalls/practice banks,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`Services/Recalls/**`, `RecallSetCodes.cs`, `RecallSetTagEntity.cs`; a `search_recall_set` learner tool already exists in `Services/AiTools/Tools/BuiltInTools.cs`.",Tool exists but is granted to no companion feature and has no grounded citation path.,Stage 2,Medium
F-022,Video timestamp index,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`LibraryVideo`, `VideoCaptionTrack`, `VideoCategory` in `Domain/VideoLibraryEntities.cs`; live-class transcripts carry timestamps.",No unified transcript-segment index keyed by video id + timestamp. Blocks F-093/F-094/F-099.,Stage 2,Medium
F-023,Platform navigation map,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,EXISTS,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`Services/Companion/CompanionDestinationRegistry.cs` — closed catalog of learner routes with entitlement, feature-flag and profession gating; resolved through `PlatformLinkService.BuildWebUrl`.","Catalog is hand-maintained. Adding a learner route requires a registry row; `CompanionDestinationSecurityTests` locks id uniqueness, path shape and retired-id integrity.",Stage 1,High
F-024,Support/FAQ knowledge,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,EXISTS,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,`AssistantCitationsResolved` hub event + `AiAssistantMessage.CitationsJson` (migration `20261221090000`); rendered by `CitationList` in `AiAssistantMessages.tsx` on both the widget and `/companion`.,"Citations name the source, rule heading and page/timestamp. They deliberately carry no source text — a citation list must not become a second delivery channel for paid material.",Stage 1,Medium
F-025,Official current exam sources,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,EXISTS,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"Each citation carries its `authority` class, rendered as a distinct label (Official exam fact vs Dr Hesham’s method vs Profession rulebook) so the two kinds of claim never read alike.",Labels live in the component rather than the i18n bundle; Arabic renders the English label.,Stage 2,High
F-026,Source hierarchy,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,EXISTS,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,`CompanionRetriever` authority precedence: official fact > Dr Hesham method > profession rule > newest approved version. Authority class rendered per citation in the UI.,Precedence is fixed in code rather than admin-editable.,Stage 1,High
F-027,Content versioning,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,`RulebookVersions` + `RulebookSectionRows`/`RulebookRuleRows`; `ContentPaper` publish + `CandidateVisible`.,"No knowledge-release object binding source versions, index, evaluation report and rollback target.",Stage 1,Medium
F-028,Teacher override,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,PARTIAL,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,`Services/Rulebooks/RulebookAdminService.cs` supports admin edit/approve/publish with audit.,"No companion-scoped override carrying approver, effective dates and change reason.",Stage 2,Medium
F-029,Conflict detection,Knowledge & grounding,6-7,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI/RAG + Content Ops,TO VERIFY - developer after repository audit,Stage 1-2,Asset register + entitlements + approved sources,EXISTS,Stage 1 uses a limited approved corpus; Stage 2 expands full grounding.,"`CompanionRetrievalResult.AuthorityConflict`; the prompt instructs the model to SURFACE the conflict and follow the official fact, never blend.",Detection is authority-class based; it does not detect two sources of equal authority contradicting each other.,Stage 1,High
F-030,Initial diagnostic,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,PARTIAL,,"Listening/Reading/Writing pathway generators; `AdaptiveDifficultyService` (Elo, K=32, seed 1500) establishes a starting skill level.",No companion-led diagnostic conversation that seeds the plan.,Stage 2,Medium
F-031,Daily plan,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,"`IStudyPlanGenerator`/`StudyPlanGenerator` with `ContentPicker`, `RationaleBuilder`, `ReviewItemInjector`, `StudyPlanEntitlementResolver`, `GenerationInputsHasher`; `StudyPlanTemplateWeek`/`Days`; `app/study-plan`.",None. Companion exposes this as a read tool rather than re-implementing planning.,Stage 1,Low
F-032,Weekly plan,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,"`IStudyPlanGenerator`/`StudyPlanGenerator` with `ContentPicker`, `RationaleBuilder`, `ReviewItemInjector`, `StudyPlanEntitlementResolver`, `GenerationInputsHasher`; `StudyPlanTemplateWeek`/`Days`; `app/study-plan`.",None. Companion exposes this as a read tool rather than re-implementing planning.,Stage 1,Low
F-033,30/60/90-day plans,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,PARTIAL,,"`StudyPlanTemplateSeeder` ships `free-8wk-standard` (6-10wk), `premium-12wk-targeted` (10-16wk) and `premium-4wk-retake` (2-5wk); `StudyPlanTemplateSelector` matches on week range.",The 8/12-week templates cover ~60d and ~90d; a distinct 30-day horizon is not templated.,Stage 2,Low
F-034,14/7/3-day plans,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,MISSING,,The shortest seeded template floor is `MinWeeks = 2`.,"Nothing below 2 weeks exists, so 14/7/3-day intensive plans cannot be selected.",Stage 2,Medium
F-035,Exam-eve plan,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,MISSING,,No exam-eve template or logistics checklist in the seeder.,Needs a rehearsal/logistics/confidence plan type that avoids new-content overload.,Stage 2,Low
F-036,Missed-day replanning,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,PARTIAL,,`app/study-plan/drift` surface exists; `StudyPlanGenerator` + `GenerationInputsHasher` make regeneration reproducible from stored inputs.,Verify drift triggers a real replan that explains dropped or delayed items instead of carrying all overdue work.,Stage 2,Medium
F-037,Shift-worker planning,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,MISSING,,Availability is a single `StudyHoursPerWeek` integer.,"Blocked on F-009: no shift, day-off or travel model to plan around.",Stage 2,Medium
F-038,Travel-aware replanning,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,MISSING,,Availability is a single `StudyHoursPerWeek` integer.,"Blocked on F-009: no shift, day-off or travel model to plan around.",Stage 2,Medium
F-039,What should I do now?,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,`LearnerActionsService.GetNextActionsAsync` / `GetReadinessBlockersAsync`; `app/next-actions`; `ContentPicker` + `RationaleBuilder` supply the eligible target and a stored rationale.,None for the engine. Companion surfaces it conversationally and adds the one-click action (F-100).,Stage 1,Low
F-040,Next-best-action engine,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,`LearnerActionsService.GetNextActionsAsync` / `GetReadinessBlockersAsync`; `app/next-actions`; `ContentPicker` + `RationaleBuilder` supply the eligible target and a stored rationale.,None for the engine. Companion surfaces it conversationally and adds the one-click action (F-100).,Stage 1,Low
F-041,Conversation memory,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,`AiAssistantThread`/`AiAssistantMessage` persist server-side; `ArchiveThreadAsync` clears; SignalR rehydrates across devices.,"No compaction budget, so long threads grow token cost without bound.",Stage 1,Medium
F-042,Learning memory,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,PARTIAL,,"Evidence is spread across attempts, evaluations, `LearnerSkillProfile`, `ReviewItem` and tutor feedback.","No structured learning memory with provenance, confidence and a user correction path.",Stage 1,High
F-043,Journey memory,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,MISSING,,No journey-scoped longitudinal record (blocked on F-012).,"Needed for ""what has worked for this learner over time"".",Stage 2,Medium
F-044,Error DNA,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,MISSING,,"Substrate exists: `ReviewItem`, `SpacedRepetitionEntities`, escalations, rule ids on rulebook findings.","No error taxonomy, occurrence/trend counts, mark-impact evidence or remediation state.",Stage 2,High
F-045,Learning Fingerprint,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 3,Learner profile + event/memory store,MISSING,,Nothing derives explainable learner traits.,Stage 3 per source; requires F-042 and F-044 first.,Stage 3,Low
F-046,Spaced reinforcement,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,"`SpacedRepetitionService`, `Sm2Scheduler`, `ReviewItem`, `ReviewItemInjector`, `app/review`, vocabulary flashcards.","None. Companion schedules through this, never a parallel scheduler.",Stage 1,Low
F-047,Memory controls/export/delete,Planning & memory,8-9,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Backend,TO VERIFY - developer after repository audit,Stage 2,Learner profile + event/memory store,EXISTS,,"`GET/DELETE /v1/companion/memory`, `GET /v1/companion/memory/export` (JSON download), per-item delete and full reset; UI in `CompanionMemoryPanel.tsx`; predicates locked by `CompanionMemoryIsolationTests`.",Correction is delete-and-resave rather than edit-in-place; the export carries no user identifiers by design.,Stage 1,High
F-048,Quick answer,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,`AiAssistantOrchestrator.RunTurnAsync` streams answers through `IAiAssistantGateway`; `LearnerSystemPrompt` is a generic tutor persona.,"No mode selection, no rulebook grounding, no citations. This is the S1.1 slice.",Stage 1,High
F-049,Detailed tutor,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,`AiAssistantOrchestrator.RunTurnAsync` streams answers through `IAiAssistantGateway`; `LearnerSystemPrompt` is a generic tutor persona.,"No mode selection, no rulebook grounding, no citations. This is the S1.1 slice.",Stage 1,High
F-050,Socratic tutor,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`CompanionTeachingStyle.Socratic` — prompt leads with a question, answers after an attempt. Safety, exam-rule and deadline facts are explicitly exempt from being withheld.",No adaptive switch based on learner frustration.,Stage 2,Low
F-051,Examiner mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,"Examiner behaviour exists in grading: `WritingRuleEngine`, `SpeakingRuleEngine`, `SpeakingEvaluationPipeline`, `_exam-mode` rulebooks.",Not exposed as a conversational examiner mode.,Stage 2,Low
F-052,Coach mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,EXISTS,,"`CompanionTeachingStyle.Coaching` — strengths, one highest-impact change, one next action; instructed to stay honest rather than inflate progress.",Does not yet pull the readiness engine into the coaching frame.,Stage 2,Low
F-053,Dr Hesham mode,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,The 115 rulebooks are the Dr Hesham method and already drive `RulebookPromptBuilder` grounding for grading features.,"Not selectable as a companion mode, and not applied to companion chat at all today.",Stage 1,High
F-054,Arabic explanation,Tutoring,10-14,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,AI + Pedagogy,TO VERIFY - developer after repository audit,Stage 2,Approved pedagogy + retrieval + evaluation,PARTIAL,,Arabic course materials exist under `OET Materials & Videos Data/*/Arabic`; `ar` locale and RTL are wired at the document root.,No Arabic explanation mode that preserves English clinical and exam terminology.,Stage 2,Medium
